tag,activation,n_layers,width,t,l2_u,l2_v,l2_p,final_loss,training_time_seconds,model_path,plot_path
act-SiLU_L5_W64,SiLU,5,64,32.0,1.000484824180603,0.9995192885398865,8.563173294067383,0.000628634006716311,171.70933267600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W64.png
act-SiLU_L5_W64,SiLU,5,64,50.0,1.0007168054580688,0.9996885061264038,17.82072639465332,0.000628634006716311,171.70933267600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W64.png
act-SiLU_L5_W64,SiLU,5,64,100.0,1.0009715557098389,1.0150595903396606,113.0283203125,0.000628634006716311,171.70933267600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W64.png
act-SiLU_L5_W128,SiLU,5,128,2.0,0.13751110434532166,0.13598483800888062,0.6830661296844482,0.00040255876956507564,180.18390480000016,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W128.png
act-SiLU_L5_W128,SiLU,5,128,10.0,0.6243424415588379,0.6283584237098694,1.6004664897918701,0.00040255876956507564,180.18390480000016,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W128.png
act-SiLU_L5_W128,SiLU,5,128,32.0,0.9909557104110718,0.9894030094146729,1.2126264572143555,0.00040255876956507564,180.18390480000016,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W128.png
act-SiLU_L5_W128,SiLU,5,128,50.0,1.0007960796356201,1.0001822710037231,1.115681767463684,0.00040255876956507564,180.18390480000016,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W128.png
act-SiLU_L5_W128,SiLU,5,128,100.0,1.008087158203125,1.0085257291793823,1.4640874862670898,0.00040255876956507564,180.18390480000016,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W128.png
act-SiLU_L5_W256,SiLU,5,256,2.0,0.146047443151474,0.14245401322841644,0.26149746775627136,0.0003036667185369879,192.31200450200004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W256.png
act-SiLU_L5_W256,SiLU,5,256,10.0,0.661277174949646,0.662507951259613,1.5103192329406738,0.0003036667185369879,192.31200450200004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W256.png
act-SiLU_L5_W256,SiLU,5,256,32.0,0.997853696346283,0.9972974061965942,8.250679016113281,0.0003036667185369879,192.31200450200004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W256.png
act-SiLU_L5_W256,SiLU,5,256,50.0,1.0019299983978271,1.000486135482788,17.138853073120117,0.0003036667185369879,192.31200450200004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W256.png
act-SiLU_L5_W256,SiLU,5,256,100.0,1.010195255279541,0.9997303485870361,125.84232330322266,0.0003036667185369879,192.31200450200004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W256.png
act-SiLU_L5_W512,SiLU,5,512,2.0,0.13505350053310394,0.12270818650722504,0.3816426992416382,0.00036727351834997535,217.29149661200017,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W512.png
act-SiLU_L5_W512,SiLU,5,512,10.0,0.6018430590629578,0.5982861518859863,0.8637433052062988,0.00036727351834997535,217.29149661200017,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W512.png
act-SiLU_L5_W512,SiLU,5,512,32.0,0.9934821724891663,0.9924002289772034,1.4721823930740356,0.00036727351834997535,217.29149661200017,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W512.png
act-SiLU_L5_W512,SiLU,5,512,50.0,1.0018121004104614,1.0031307935714722,2.475705146789551,0.00036727351834997535,217.29149661200017,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W512.png
act-SiLU_L5_W512,SiLU,5,512,100.0,1.0041097402572632,1.029521107673645,15.142274856567383,0.00036727351834997535,217.29149661200017,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W512.png
act-GELU_L3_W64,GELU,3,64,2.0,0.2726054787635803,0.2667675018310547,1.1301487684249878,0.0007192681659944355,111.02445393599965,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W64.png
act-GELU_L3_W64,GELU,3,64,10.0,0.8744288682937622,0.8719860315322876,1.241499900817871,0.0007192681659944355,111.02445393599965,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W64.png
act-GELU_L3_W64,GELU,3,64,32.0,1.0105417966842651,1.0042725801467896,1.156381607055664,0.0007192681659944355,111.02445393599965,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W64.png
act-GELU_L3_W64,GELU,3,64,50.0,1.0189208984375,1.0069035291671753,1.204217791557312,0.0007192681659944355,111.02445393599965,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W64.png
act-GELU_L3_W64,GELU,3,64,100.0,1.0174247026443481,1.1247762441635132,16.136669158935547,0.0007192681659944355,111.02445393599965,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W64.png
act-GELU_L3_W128,GELU,3,128,2.0,0.1442280262708664,0.1442866027355194,0.29483991861343384,0.00032982658012770116,108.27373914600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W128.png
act-GELU_L3_W128,GELU,3,128,10.0,0.630454957485199,0.6321178674697876,0.9775342345237732,0.00032982658012770116,108.27373914600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W128.png
act-GELU_L3_W128,GELU,3,128,32.0,0.9975361227989197,0.9991850256919861,3.719158411026001,0.00032982658012770116,108.27373914600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W128.png
act-GELU_L3_W128,GELU,3,128,50.0,1.0002127885818481,1.005136489868164,11.837528228759766,0.00032982658012770116,108.27373914600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W128.png
act-GELU_L3_W128,GELU,3,128,100.0,1.0145654678344727,1.019751787185669,186.5824432373047,0.00032982658012770116,108.27373914600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W128.png
act-GELU_L3_W256,GELU,3,256,2.0,0.1395222246646881,0.13660892844200134,1.0830106735229492,0.00031608715653419495,133.63135168300005,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W256.png
act-GELU_L3_W256,GELU,3,256,10.0,0.6454221606254578,0.6433548331260681,1.257717490196228,0.00031608715653419495,133.63135168300005,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W256.png
act-GELU_L3_W256,GELU,3,256,32.0,1.0035265684127808,1.0022388696670532,2.706488609313965,0.00031608715653419495,133.63135168300005,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W256.png
act-GELU_L3_W256,GELU,3,256,50.0,1.0022048950195312,1.0037403106689453,7.890320777893066,0.00031608715653419495,133.63135168300005,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W256.png
act-GELU_L3_W256,GELU,3,256,100.0,1.010331630706787,1.0284297466278076,129.81455993652344,0.00031608715653419495,133.63135168300005,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-GELU_L3_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-GELU_L3_W256.png
